Data Zone,Local Authority Code,Local Authority Name,"Education, Skills and Training domain 2012 rank1","People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)","Proportion of 17- 21 year olds entering higher education 
(HESA 2008/09-2010/11)3","Pupil Performance on SQA at Stage 4 (SQA, 2008/09-2010/11)5","School Pupil Absences 
(Scottish Government, 2009/10-2010/11)4,5"
S01000001,100,Aberdeen City,4795,8,12.93,210,4.9
S01000002,100,Aberdeen City,5360,4,10,196,4.2
S01000003,100,Aberdeen City,5211,2,6.96,222,5.6
S01000004,100,Aberdeen City,5255,2,6.8,185,4.4
S01000005,100,Aberdeen City,5558,7.5,10.96,229,4.7
S01000006,100,Aberdeen City,4239,14,10.68,193,5.2
S01000007,100,Aberdeen City,6006,2,17.65,213,3.8
S01000008,100,Aberdeen City,4135,20,12.07,200,4.3
S01000009,100,Aberdeen City,4459,6,9.48,207,4.9
S01000010,100,Aberdeen City,4898,6,8.55,188,4.2
S01000011,100,Aberdeen City,6384,0,18.86,255,4
S01000012,100,Aberdeen City,5196,2,10.65,192,4.3
S01000013,100,Aberdeen City,5006,3.75,13.87,224,5
S01000014,100,Aberdeen City,3835,5,10.91,174,6.4
S01000015,100,Aberdeen City,4734,3,7.84,179,4.6
S01000016,100,Aberdeen City,6065,2,12.22,222,3.7
S01000017,100,Aberdeen City,4249,4,*,216,5.2
S01000018,100,Aberdeen City,2686,14,*,171,4.5
S01000019,100,Aberdeen City,6383,2,22.09,249,3.9
S01000020,100,Aberdeen City,5500,3,13.26,245,5.7
S01000021,100,Aberdeen City,3042,3,*,168,5.9
S01000022,100,Aberdeen City,6483,1,24.58,267,3.1
S01000023,100,Aberdeen City,6447,4,34.48,239,3.6
S01000024,100,Aberdeen City,6308,0,25.61,238,4.5
S01000025,100,Aberdeen City,6454,2,18.01,260,3.3
S01000026,100,Aberdeen City,1003,13,*,98,8.6
S01000027,100,Aberdeen City,6248,2,20,241,4.1
S01000028,100,Aberdeen City,1420,19,*,127,7.1
S01000029,100,Aberdeen City,6496,1,25,263,2.9
S01000030,100,Aberdeen City,2655,0,*,155,7.7
S01000031,100,Aberdeen City,6292,2,20.18,240,4.3
S01000032,100,Aberdeen City,2020,9,5.33,130,7.4
S01000033,100,Aberdeen City,1680,7,*,167,8.8
S01000034,100,Aberdeen City,6030,2,18.26,241,4.3
S01000035,100,Aberdeen City,1156,12,7.83,124,12
S01000036,100,Aberdeen City,552,10,*,135,12.5
S01000037,100,Aberdeen City,2112,10,*,155,8.8
S01000038,100,Aberdeen City,2461,6,6.51,156,8.6
S01000039,100,Aberdeen City,2103,5,6.05,142,8.7
S01000040,100,Aberdeen City,2086,8,*,144,7.2
S01000041,100,Aberdeen City,3588,9,6.25,205,6.9
S01000042,100,Aberdeen City,1360,6,*,159,12.3
S01000043,100,Aberdeen City,3750,9,6.38,198,6.2
S01000044,100,Aberdeen City,1284,13,6,152,10.7
S01000045,100,Aberdeen City,6115,4,11.83,241,3.6
S01000046,100,Aberdeen City,6436,6,23.23,244,2.8
S01000047,100,Aberdeen City,2667,17,5.38,121,5.2
S01000048,100,Aberdeen City,6317,2,16.04,226,3.7
