Data Zone,Local Authority Code,local authority name,Income domain 2012 rank,Income domain 2012 rate (%)
S01000001,100,Aberdeen City,4102,8
S01000002,100,Aberdeen City,6489,1
S01000003,100,Aberdeen City,6284,2
S01000004,100,Aberdeen City,6494,0
S01000005,100,Aberdeen City,5308,5
S01000006,100,Aberdeen City,4018,9
S01000007,100,Aberdeen City,5564,4
S01000008,100,Aberdeen City,4227,8
S01000009,100,Aberdeen City,4496,7
S01000010,100,Aberdeen City,5774,3
S01000011,100,Aberdeen City,6476,1
S01000012,100,Aberdeen City,5934,3
S01000013,100,Aberdeen City,4303,8
S01000014,100,Aberdeen City,5982,3
S01000015,100,Aberdeen City,6401,1
S01000016,100,Aberdeen City,6468,1
S01000017,100,Aberdeen City,4715,6
S01000018,100,Aberdeen City,5979,3
S01000019,100,Aberdeen City,5908,3
S01000020,100,Aberdeen City,3520,10
S01000021,100,Aberdeen City,4414,7
S01000022,100,Aberdeen City,6458,1
S01000023,100,Aberdeen City,6406,1
S01000024,100,Aberdeen City,5886,3
S01000025,100,Aberdeen City,6148,2
S01000026,100,Aberdeen City,1774,19
S01000027,100,Aberdeen City,6068,3
S01000028,100,Aberdeen City,2558,15
S01000029,100,Aberdeen City,6464,1
S01000030,100,Aberdeen City,2296,16
S01000031,100,Aberdeen City,6069,3
S01000032,100,Aberdeen City,2883,13
S01000033,100,Aberdeen City,1611,20
S01000034,100,Aberdeen City,6421,1
S01000035,100,Aberdeen City,3717,10
S01000036,100,Aberdeen City,2245,16
S01000037,100,Aberdeen City,3059,12
S01000038,100,Aberdeen City,3554,10
S01000039,100,Aberdeen City,3315,11
S01000040,100,Aberdeen City,3490,10
S01000041,100,Aberdeen City,3834,9
S01000042,100,Aberdeen City,3436,11
S01000043,100,Aberdeen City,3098,12
S01000044,100,Aberdeen City,1407,21
S01000045,100,Aberdeen City,6347,2
S01000046,100,Aberdeen City,6402,1
S01000047,100,Aberdeen City,3430,11
S01000048,100,Aberdeen City,6455,1
S01000049,100,Aberdeen City,5849,3
S01000050,100,Aberdeen City,5342,5
S01000051,100,Aberdeen City,6375,2
S01000052,100,Aberdeen City,686,28
S01000053,100,Aberdeen City,4476,7
S01000054,100,Aberdeen City,5962,3
S01000055,100,Aberdeen City,1047,24
S01000056,100,Aberdeen City,6247,2
S01000057,100,Aberdeen City,803,27
S01000058,100,Aberdeen City,6213,2
S01000059,100,Aberdeen City,6424,1
S01000060,100,Aberdeen City,340,33
S01000061,100,Aberdeen City,6358,2
S01000062,100,Aberdeen City,5778,3
S01000063,100,Aberdeen City,6263,2
S01000064,100,Aberdeen City,3863,9
S01000065,100,Aberdeen City,4483,7
S01000066,100,Aberdeen City,3727,10
S01000067,100,Aberdeen City,5369,4
S01000068,100,Aberdeen City,5624,4
S01000069,100,Aberdeen City,1495,21
S01000070,100,Aberdeen City,1920,18
S01000071,100,Aberdeen City,1223,23
S01000072,100,Aberdeen City,4053,8
S01000073,100,Aberdeen City,5752,4
S01000074,100,Aberdeen City,1003,25
S01000075,100,Aberdeen City,5375,4
S01000076,100,Aberdeen City,6353,2
S01000077,100,Aberdeen City,6106,3
S01000078,100,Aberdeen City,2782,14
S01000079,100,Aberdeen City,6399,2
S01000080,100,Aberdeen City,4887,6
S01000081,100,Aberdeen City,6418,1
S01000082,100,Aberdeen City,1460,21
S01000083,100,Aberdeen City,6431,1
S01000084,100,Aberdeen City,2401,15
S01000085,100,Aberdeen City,4763,6
S01000086,100,Aberdeen City,5991,3
S01000087,100,Aberdeen City,6300,2
S01000088,100,Aberdeen City,5362,4
S01000089,100,Aberdeen City,6437,1
S01000090,100,Aberdeen City,5904,3
S01000091,100,Aberdeen City,4625,7
S01000092,100,Aberdeen City,5606,4
S01000093,100,Aberdeen City,4461,7
S01000094,100,Aberdeen City,5496,4
S01000095,100,Aberdeen City,5806,3
S01000096,100,Aberdeen City,2227,16
S01000097,100,Aberdeen City,6440,1
S01000098,100,Aberdeen City,3245,11
S01000099,100,Aberdeen City,6400,1
S01000100,100,Aberdeen City,3672,10
S01000101,100,Aberdeen City,6381,2
S01000102,100,Aberdeen City,2461,15
S01000103,100,Aberdeen City,6335,2
S01000104,100,Aberdeen City,6487,1
S01000105,100,Aberdeen City,6377,2
S01000106,100,Aberdeen City,6419,1
S01000107,100,Aberdeen City,3998,9
S01000108,100,Aberdeen City,2672,14
S01000109,100,Aberdeen City,4602,7
S01000110,100,Aberdeen City,4037,8
S01000111,100,Aberdeen City,6142,2
S01000112,100,Aberdeen City,3423,11
S01000113,100,Aberdeen City,6158,2
S01000114,100,Aberdeen City,2421,15
S01000115,100,Aberdeen City,2396,15
S01000116,100,Aberdeen City,6027,3
S01000117,100,Aberdeen City,5019,5
S01000118,100,Aberdeen City,3768,9
S01000119,100,Aberdeen City,2563,15
S01000120,100,Aberdeen City,4837,6
S01000121,100,Aberdeen City,4021,9
S01000122,100,Aberdeen City,2667,14
S01000123,100,Aberdeen City,6185,2
S01000124,100,Aberdeen City,5112,5
S01000125,100,Aberdeen City,2744,14
S01000126,100,Aberdeen City,1813,18
S01000127,100,Aberdeen City,6426,1
S01000128,100,Aberdeen City,5291,5
S01000129,100,Aberdeen City,6436,1
S01000130,100,Aberdeen City,4467,7
S01000131,100,Aberdeen City,6063,3
S01000132,100,Aberdeen City,4949,6
S01000133,100,Aberdeen City,1940,18
S01000134,100,Aberdeen City,1291,22
S01000135,100,Aberdeen City,1135,23
S01000136,100,Aberdeen City,2151,17
S01000137,100,Aberdeen City,3571,10
S01000138,100,Aberdeen City,5313,5
S01000139,100,Aberdeen City,2789,14
S01000140,100,Aberdeen City,3476,11
S01000141,100,Aberdeen City,5819,3
S01000142,100,Aberdeen City,1008,25
S01000143,100,Aberdeen City,6307,2
S01000144,100,Aberdeen City,5455,4
S01000145,100,Aberdeen City,1446,21
S01000146,100,Aberdeen City,3100,12
S01000147,100,Aberdeen City,4300,8
S01000148,100,Aberdeen City,1582,20
S01000149,100,Aberdeen City,3663,10
S01000150,100,Aberdeen City,2756,14
S01000151,100,Aberdeen City,1685,19
S01000152,100,Aberdeen City,4585,7
S01000153,100,Aberdeen City,3979,9
S01000154,100,Aberdeen City,3150,12
S01000155,100,Aberdeen City,2567,15
S01000156,100,Aberdeen City,2388,15
S01000157,100,Aberdeen City,1086,24
S01000158,100,Aberdeen City,2746,14
S01000159,100,Aberdeen City,6135,3
S01000160,100,Aberdeen City,3607,10
S01000161,100,Aberdeen City,5975,3
S01000162,100,Aberdeen City,3351,11
S01000163,100,Aberdeen City,2276,16
S01000164,100,Aberdeen City,3734,10
S01000165,100,Aberdeen City,1605,20
S01000166,100,Aberdeen City,5950,3
S01000167,100,Aberdeen City,2359,16
S01000168,100,Aberdeen City,2024,17
S01000169,100,Aberdeen City,4229,8
S01000170,100,Aberdeen City,5812,3
S01000171,100,Aberdeen City,6343,2
S01000172,100,Aberdeen City,5612,4
S01000173,100,Aberdeen City,2577,14
S01000174,100,Aberdeen City,6497,0
S01000175,100,Aberdeen City,3826,9
S01000176,100,Aberdeen City,5505,4
S01000177,100,Aberdeen City,5741,4
S01000178,100,Aberdeen City,2594,14
S01000179,100,Aberdeen City,579,29
S01000180,100,Aberdeen City,2001,17
S01000181,100,Aberdeen City,1416,21
S01000182,100,Aberdeen City,2657,14
S01000183,100,Aberdeen City,2445,15
S01000184,100,Aberdeen City,5234,5
S01000185,100,Aberdeen City,1531,20
S01000186,100,Aberdeen City,3485,10
S01000187,100,Aberdeen City,3148,12
S01000188,100,Aberdeen City,3435,11
S01000189,100,Aberdeen City,637,28
S01000190,100,Aberdeen City,2336,16
S01000191,100,Aberdeen City,5130,5
S01000192,100,Aberdeen City,1636,20
S01000193,100,Aberdeen City,1709,19
S01000194,100,Aberdeen City,1013,25
S01000195,100,Aberdeen City,1375,21
S01000196,100,Aberdeen City,430,31
S01000197,100,Aberdeen City,2484,15
S01000198,100,Aberdeen City,342,32
S01000199,100,Aberdeen City,869,26
S01000200,100,Aberdeen City,2645,14
S01000201,100,Aberdeen City,2559,15
S01000202,100,Aberdeen City,3629,10
S01000203,100,Aberdeen City,766,27
S01000204,100,Aberdeen City,1731,19
S01000205,100,Aberdeen City,4098,8
S01000206,100,Aberdeen City,3758,9
S01000207,100,Aberdeen City,905,25
S01000208,100,Aberdeen City,798,27
S01000209,100,Aberdeen City,283,34
S01000210,100,Aberdeen City,986,25
S01000211,100,Aberdeen City,1191,23
S01000212,100,Aberdeen City,2464,15
S01000213,100,Aberdeen City,2268,16
S01000214,100,Aberdeen City,3951,9
S01000215,100,Aberdeen City,5061,5
S01000216,100,Aberdeen City,5433,4
S01000217,100,Aberdeen City,1481,21
S01000218,100,Aberdeen City,3425,11
S01000219,100,Aberdeen City,1248,22
S01000220,100,Aberdeen City,5954,3
S01000221,100,Aberdeen City,1642,19
S01000222,100,Aberdeen City,3487,10
S01000223,100,Aberdeen City,5286,5
S01000224,100,Aberdeen City,3312,11
S01000225,100,Aberdeen City,4433,7
S01000226,100,Aberdeen City,6317,2
S01000227,100,Aberdeen City,5972,3
S01000228,100,Aberdeen City,4346,7
S01000229,100,Aberdeen City,2727,14
S01000230,100,Aberdeen City,4561,7
S01000231,100,Aberdeen City,6259,2
S01000232,100,Aberdeen City,2848,13
S01000233,100,Aberdeen City,3012,12
S01000234,100,Aberdeen City,6122,3
S01000235,100,Aberdeen City,5996,3
S01000236,100,Aberdeen City,5292,5
S01000237,100,Aberdeen City,6139,3
S01000238,100,Aberdeen City,6303,2
S01000239,100,Aberdeen City,6174,2
S01000240,100,Aberdeen City,5296,5
S01000241,100,Aberdeen City,6470,1
S01000242,100,Aberdeen City,6021,3
S01000243,100,Aberdeen City,6502,0
S01000244,100,Aberdeen City,4365,7
S01000245,100,Aberdeen City,4865,6
S01000246,100,Aberdeen City,5933,3
S01000247,100,Aberdeen City,6501,0
S01000248,100,Aberdeen City,6454,1
S01000249,100,Aberdeen City,5781,3
S01000250,100,Aberdeen City,6242,2
S01000251,100,Aberdeen City,6326,2
S01000252,100,Aberdeen City,6364,2
S01000253,100,Aberdeen City,6490,1
S01000254,100,Aberdeen City,6066,3
S01000255,100,Aberdeen City,6325,2
S01000256,100,Aberdeen City,4580,7
S01000257,100,Aberdeen City,5355,5
S01000258,100,Aberdeen City,6333,2
S01000259,100,Aberdeen City,6362,2
S01000260,100,Aberdeen City,6351,2
S01000261,100,Aberdeen City,5900,3
S01000262,100,Aberdeen City,5671,4
S01000263,100,Aberdeen City,4095,8
S01000264,100,Aberdeen City,4009,9
S01000265,100,Aberdeen City,4356,7
S01000266,100,Aberdeen City,4490,7
S01000267,100,Aberdeen City,3868,9
S01000268,110,Aberdeenshire,2567,15
S01000269,110,Aberdeenshire,5616,4
S01000270,110,Aberdeenshire,4916,6
S01000271,110,Aberdeenshire,4109,8
S01000272,110,Aberdeenshire,5111,5
S01000273,110,Aberdeenshire,3943,9
S01000274,110,Aberdeenshire,3984,9
S01000275,110,Aberdeenshire,4405,7
S01000276,110,Aberdeenshire,6043,3
S01000277,110,Aberdeenshire,4646,6
S01000278,110,Aberdeenshire,1954,18
S01000279,110,Aberdeenshire,5141,5
S01000280,110,Aberdeenshire,5452,4
S01000281,110,Aberdeenshire,4826,6
S01000282,110,Aberdeenshire,4787,6
S01000283,110,Aberdeenshire,5017,5
S01000284,110,Aberdeenshire,6292,2
S01000285,110,Aberdeenshire,6108,3
S01000286,110,Aberdeenshire,4347,7
S01000287,110,Aberdeenshire,5789,3
S01000288,110,Aberdeenshire,6171,2
S01000289,110,Aberdeenshire,3611,10
S01000290,110,Aberdeenshire,2171,16
S01000291,110,Aberdeenshire,5611,4
S01000292,110,Aberdeenshire,4841,6
S01000293,110,Aberdeenshire,3731,10
S01000294,110,Aberdeenshire,5839,3
S01000295,110,Aberdeenshire,5985,3
S01000296,110,Aberdeenshire,5620,4
S01000297,110,Aberdeenshire,5589,4
S01000298,110,Aberdeenshire,5795,3
S01000299,110,Aberdeenshire,6198,2
S01000300,110,Aberdeenshire,6136,3
S01000301,110,Aberdeenshire,6008,3
S01000302,110,Aberdeenshire,6131,3
S01000303,110,Aberdeenshire,5553,4
S01000304,110,Aberdeenshire,6420,1
S01000305,110,Aberdeenshire,5273,5
S01000306,110,Aberdeenshire,6444,1
S01000307,110,Aberdeenshire,5903,3
S01000308,110,Aberdeenshire,6081,3
S01000309,110,Aberdeenshire,5534,4
S01000310,110,Aberdeenshire,6221,2
S01000311,110,Aberdeenshire,6194,2
S01000312,110,Aberdeenshire,4626,7
S01000313,110,Aberdeenshire,5436,4
S01000314,110,Aberdeenshire,5926,3
S01000315,110,Aberdeenshire,6250,2
S01000316,110,Aberdeenshire,3995,9
S01000317,110,Aberdeenshire,4173,8
S01000318,110,Aberdeenshire,6477,1
S01000319,110,Aberdeenshire,6086,3
S01000320,110,Aberdeenshire,6230,2
S01000321,110,Aberdeenshire,6154,2
S01000322,110,Aberdeenshire,6328,2
S01000323,110,Aberdeenshire,4780,6
S01000324,110,Aberdeenshire,6340,2
S01000325,110,Aberdeenshire,5631,4
S01000326,110,Aberdeenshire,4315,8
S01000327,110,Aberdeenshire,6280,2
S01000328,110,Aberdeenshire,5188,5
S01000329,110,Aberdeenshire,4408,7
S01000330,110,Aberdeenshire,5444,4
S01000331,110,Aberdeenshire,4228,8
S01000332,110,Aberdeenshire,5350,5
S01000333,110,Aberdeenshire,6200,2
S01000334,110,Aberdeenshire,4756,6
S01000335,110,Aberdeenshire,4543,7
S01000336,110,Aberdeenshire,5796,3
S01000337,110,Aberdeenshire,6203,2
S01000338,110,Aberdeenshire,4342,7
S01000339,110,Aberdeenshire,5542,4
S01000340,110,Aberdeenshire,6202,2
S01000341,110,Aberdeenshire,5178,5
S01000342,110,Aberdeenshire,3386,11
S01000343,110,Aberdeenshire,5960,3
S01000344,110,Aberdeenshire,5630,4
S01000345,110,Aberdeenshire,6199,2
S01000346,110,Aberdeenshire,5947,3
S01000347,110,Aberdeenshire,6127,3
S01000348,110,Aberdeenshire,6403,1
S01000349,110,Aberdeenshire,5149,5
S01000350,110,Aberdeenshire,6370,2
S01000351,110,Aberdeenshire,6277,2
S01000352,110,Aberdeenshire,6360,2
S01000353,110,Aberdeenshire,6220,2
S01000354,110,Aberdeenshire,5073,5
S01000355,110,Aberdeenshire,6480,1
S01000356,110,Aberdeenshire,6430,1
S01000357,110,Aberdeenshire,6449,1
S01000358,110,Aberdeenshire,6445,1
S01000359,110,Aberdeenshire,6495,0
S01000360,110,Aberdeenshire,4577,7
S01000361,110,Aberdeenshire,5976,3
S01000362,110,Aberdeenshire,5713,4
S01000363,110,Aberdeenshire,6338,2
S01000364,110,Aberdeenshire,6024,3
S01000365,110,Aberdeenshire,5799,3
S01000366,110,Aberdeenshire,6128,3
S01000367,110,Aberdeenshire,6314,2
S01000368,110,Aberdeenshire,5222,5
S01000369,110,Aberdeenshire,4960,6
S01000370,110,Aberdeenshire,5779,3
S01000371,110,Aberdeenshire,4379,7
S01000372,110,Aberdeenshire,4081,8
S01000373,110,Aberdeenshire,6230,2
S01000374,110,Aberdeenshire,5565,4
S01000375,110,Aberdeenshire,2916,13
S01000376,110,Aberdeenshire,3568,10
S01000377,110,Aberdeenshire,5835,3
S01000378,110,Aberdeenshire,5013,5
S01000379,110,Aberdeenshire,6483,1
S01000380,110,Aberdeenshire,6295,2
S01000381,110,Aberdeenshire,5804,3
S01000382,110,Aberdeenshire,5959,3
S01000383,110,Aberdeenshire,5568,4
S01000384,110,Aberdeenshire,3949,9
S01000385,110,Aberdeenshire,4150,8
